"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\rigau\3D Objects\Documents\GitHub\jappfictionrepository\backgroundAnimationIndex.js", "JavaScript", -93, 106, -12, 1
"Total", "-", -93, 106, -12, 1
